,generalElectionVote,Vote
160,Brexit Party,Brexit Party
161,Conservative,Conservative
162,Labour,Labour
163,Conservative,Conservative
164,Green Party,Green Party
165,Conservative,Conservative
166,Conservative,Conservative
167,Conservative,Conservative
168,Conservative,Conservative
169,Green Party,Green Party
170,Labour,Labour
171,Liberal Democrat,Liberal Democrat
172,Labour,Labour
173,Conservative,Conservative
174,Labour,Labour
175,Conservative,Conservative
176,Conservative,Conservative
177,Labour,Labour
178,Labour,Labour
179,Conservative,Conservative
180,Conservative,Conservative
181,Green Party,Green Party
182,Conservative,Conservative
183,Conservative,Conservative
184,Conservative,Conservative
185,Liberal Democrat,Liberal Democrat
186,Brexit Party,Brexit Party
187,Labour,Labour
188,Conservative,Conservative
189,Liberal Democrat,Liberal Democrat
190,Conservative,Conservative
191,Labour,Labour
192,Conservative,Conservative
193,Conservative,Conservative
194,Green Party,Green Party
195,Conservative,Conservative
196,Conservative,Conservative
197,Conservative,Conservative
198,Brexit Party,Brexit Party
199,Conservative,Conservative
200,Conservative,Conservative
201,Liberal Democrat,Liberal Democrat
202,Conservative,Conservative
203,Conservative,Conservative
204,Conservative,Conservative
205,Conservative,Conservative
206,Liberal Democrat,Liberal Democrat
207,Conservative,Conservative
208,Conservative,Conservative
209,Conservative,Conservative
210,Conservative,Conservative
211,Conservative,Conservative
212,Labour,Labour
213,Liberal Democrat,Liberal Democrat
214,Conservative,Conservative
215,Conservative,Conservative
216,Conservative,Conservative
217,Labour,Labour
218,Liberal Democrat,Liberal Democrat
219,Conservative,Conservative
220,Conservative,Conservative
221,Green Party,Green Party
222,An independent candidate,An independent candidate
223,Conservative,Conservative
224,Labour,Labour
225,Brexit Party,Brexit Party
226,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
227,Labour,Labour
228,Conservative,Conservative
229,Labour,Labour
230,Green Party,Green Party
231,Conservative,Conservative
232,Labour,Labour
233,Conservative,Conservative
234,Conservative,Conservative
235,Labour,Labour
236,Brexit Party,Brexit Party
237,Conservative,Conservative
238,Conservative,Conservative
239,Conservative,Conservative
240,Labour,Labour
241,Conservative,Conservative
242,Liberal Democrat,Liberal Democrat
243,Conservative,Conservative
244,Brexit Party,Brexit Party
245,Labour,Labour
246,Conservative,Conservative
247,Brexit Party,Brexit Party
248,Liberal Democrat,Liberal Democrat
249,Conservative,Conservative
250,Conservative,Conservative
251,Conservative,Conservative
252,Labour,Labour
253,Labour,Labour
254,Conservative,Conservative
255,Conservative,Conservative
256,Conservative,Conservative
257,Conservative,Conservative
258,Conservative,Conservative
259,Conservative,Conservative
260,Labour,Labour
261,Labour,Labour
262,Conservative,Conservative
263,Liberal Democrat,Liberal Democrat
264,Conservative,Conservative
265,Conservative,Conservative
266,Conservative,Conservative
267,Liberal Democrat,Liberal Democrat
268,Conservative,Conservative
269,Conservative,Conservative
270,Labour,Labour
271,Conservative,Conservative
272,Labour,Labour
273,Conservative,Conservative
274,Liberal Democrat,Liberal Democrat
275,Brexit Party,Brexit Party
276,Conservative,Conservative
277,Liberal Democrat,Liberal Democrat
278,Conservative,Conservative
279,Conservative,Conservative
280,Liberal Democrat,Liberal Democrat
281,Labour,Labour
282,Conservative,Conservative
283,Labour,Labour
284,Liberal Democrat,Liberal Democrat
285,Liberal Democrat,Liberal Democrat
286,Labour,Labour
287,Labour,Labour
288,Brexit Party,Brexit Party
289,Conservative,Conservative
290,Conservative,Conservative
291,Conservative,Conservative
292,Conservative,Conservative
293,Labour,Labour
294,Brexit Party,Brexit Party
295,Brexit Party,Brexit Party
296,Conservative,Conservative
297,Labour,Labour
298,Labour,Labour
299,Liberal Democrat,Liberal Democrat
300,Conservative,Conservative
301,Liberal Democrat,Liberal Democrat
302,Labour,Labour
303,Conservative,Conservative
304,Conservative,Conservative
305,Conservative,Conservative
306,Conservative,Conservative
307,Liberal Democrat,Liberal Democrat
308,Liberal Democrat,Liberal Democrat
309,Conservative,Conservative
310,Labour,Labour
311,Conservative,Conservative
312,Liberal Democrat,Liberal Democrat
313,Conservative,Conservative
314,Conservative,Conservative
315,Brexit Party,Brexit Party
316,Conservative,Conservative
317,Conservative,Conservative
318,Conservative,Conservative
319,Labour,Labour
320,Brexit Party,Brexit Party
321,Green Party,Green Party
322,Labour,Labour
323,Conservative,Conservative
324,Conservative,Conservative
325,Labour,Labour
326,Labour,Labour
327,Conservative,Conservative
328,Liberal Democrat,Liberal Democrat
329,Conservative,Conservative
330,Brexit Party,Brexit Party
331,Green Party,Green Party
332,Conservative,Conservative
333,Conservative,Conservative
334,Conservative,Conservative
335,Conservative,Conservative
336,Labour,Labour
337,Labour,Labour
338,Brexit Party,Brexit Party
339,Conservative,Conservative
340,Brexit Party,Brexit Party
341,Conservative,Conservative
342,Liberal Democrat,Liberal Democrat
343,Conservative,Conservative
344,Conservative,Conservative
345,Brexit Party,Brexit Party
346,Labour,Labour
347,Conservative,Conservative
348,Conservative,Conservative
349,Labour,Labour
350,Conservative,Conservative
351,Labour,Labour
352,Liberal Democrat,Liberal Democrat
353,Brexit Party,Brexit Party
354,Conservative,Conservative
355,Liberal Democrat,Liberal Democrat
356,Conservative,Conservative
357,Liberal Democrat,Liberal Democrat
358,Conservative,Conservative
359,Conservative,Conservative
360,Conservative,Conservative
361,Conservative,Conservative
362,Labour,Labour
363,Green Party,Green Party
364,Conservative,Conservative
365,Labour,Labour
366,Brexit Party,Brexit Party
367,Liberal Democrat,Liberal Democrat
368,Conservative,Conservative
369,Conservative,Conservative
370,Green Party,Green Party
371,Labour,Labour
372,Conservative,Conservative
373,Brexit Party,Brexit Party
374,Conservative,Conservative
375,Conservative,Conservative
376,Conservative,Conservative
377,Conservative,Conservative
378,Conservative,Conservative
379,Green Party,Green Party
380,Conservative,Conservative
381,Green Party,Green Party
382,Conservative,Conservative
383,Conservative,Conservative
384,Conservative,Conservative
385,Labour,Labour
386,Liberal Democrat,Liberal Democrat
387,Conservative,Conservative
388,Conservative,Conservative
389,Conservative,Conservative
390,Conservative,Conservative
391,Conservative,Conservative
392,Conservative,Conservative
393,Brexit Party,Brexit Party
394,Conservative,Conservative
395,Conservative,Conservative
396,Conservative,Conservative
397,Conservative,Conservative
398,Conservative,Conservative
399,Brexit Party,Brexit Party
400,Conservative,Conservative
401,Labour,Labour
402,Green Party,Green Party
403,Liberal Democrat,Liberal Democrat
404,Labour,Labour
405,Conservative,Conservative
406,Liberal Democrat,Liberal Democrat
407,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
408,Labour,Labour
409,Labour,Labour
410,Labour,Labour
411,Labour,Labour
412,Labour,Labour
413,Labour,Labour
414,Liberal Democrat,Liberal Democrat
415,Brexit Party,Brexit Party
416,Labour,Labour
417,Labour,Labour
418,Conservative,Conservative
419,Conservative,Conservative
420,Conservative,Conservative
421,Conservative,Conservative
422,Conservative,Conservative
423,Conservative,Conservative
424,Liberal Democrat,Liberal Democrat
425,Brexit Party,Brexit Party
426,Brexit Party,Brexit Party
427,Labour,Labour
428,Conservative,Conservative
429,Labour,Labour
430,Labour,Labour
431,Labour,Labour
432,Labour,Labour
433,Labour,Labour
434,Labour,Labour
435,Brexit Party,Brexit Party
436,Brexit Party,Brexit Party
437,Brexit Party,Brexit Party
438,Labour,Labour
439,Brexit Party,Brexit Party
440,Labour,Labour
441,Liberal Democrat,Liberal Democrat
442,Labour,Labour
443,Labour,Labour
444,Brexit Party,Brexit Party
445,Brexit Party,Brexit Party
446,Conservative,Conservative
447,Brexit Party,Brexit Party
448,Conservative,Conservative
449,Liberal Democrat,Liberal Democrat
450,Conservative,Conservative
451,Brexit Party,Brexit Party
452,Labour,Labour
453,Brexit Party,Brexit Party
454,Conservative,Conservative
455,Labour,Labour
456,Liberal Democrat,Liberal Democrat
457,Green Party,Green Party
458,Labour,Labour
459,Labour,Labour
460,Labour,Labour
461,Brexit Party,Brexit Party
462,Brexit Party,Brexit Party
463,Conservative,Conservative
464,Conservative,Conservative
465,Brexit Party,Brexit Party
466,Brexit Party,Brexit Party
467,Labour,Labour
468,Liberal Democrat,Liberal Democrat
469,Brexit Party,Brexit Party
470,Brexit Party,Brexit Party
471,Conservative,Conservative
472,Conservative,Conservative
473,Brexit Party,Brexit Party
474,Labour,Labour
475,Labour,Labour
476,Conservative,Conservative
477,Liberal Democrat,Liberal Democrat
478,Labour,Labour
479,Labour,Labour
480,Labour,Labour
481,Conservative,Conservative
482,Liberal Democrat,Liberal Democrat
483,Brexit Party,Brexit Party
484,Conservative,Conservative
485,Conservative,Conservative
486,Labour,Labour
487,Labour,Labour
488,Labour,Labour
489,Conservative,Conservative
490,Conservative,Conservative
491,An independent candidate,An independent candidate
492,Conservative,Conservative
493,Conservative,Conservative
494,Labour,Labour
495,Brexit Party,Brexit Party
496,Conservative,Conservative
497,Conservative,Conservative
498,Conservative,Conservative
499,Conservative,Conservative
500,Liberal Democrat,Liberal Democrat
501,Labour,Labour
502,Liberal Democrat,Liberal Democrat
503,Labour,Labour
504,Liberal Democrat,Liberal Democrat
505,Liberal Democrat,Liberal Democrat
506,Conservative,Conservative
507,Conservative,Conservative
508,Labour,Labour
509,Labour,Labour
510,Conservative,Conservative
511,Conservative,Conservative
512,Brexit Party,Brexit Party
513,Conservative,Conservative
514,Labour,Labour
515,Labour,Labour
516,Conservative,Conservative
517,Conservative,Conservative
518,Liberal Democrat,Liberal Democrat
519,Conservative,Conservative
520,Conservative,Conservative
521,Conservative,Conservative
522,Conservative,Conservative
523,Labour,Labour
524,Labour,Labour
525,Liberal Democrat,Liberal Democrat
526,Conservative,Conservative
527,Conservative,Conservative
528,Conservative,Conservative
529,Labour,Labour
530,Brexit Party,Brexit Party
531,Conservative,Conservative
532,Brexit Party,Brexit Party
533,Conservative,Conservative
534,Liberal Democrat,Liberal Democrat
535,Conservative,Conservative
536,Liberal Democrat,Liberal Democrat
537,Liberal Democrat,Liberal Democrat
538,Labour,Labour
539,Liberal Democrat,Liberal Democrat
540,Conservative,Conservative
541,Liberal Democrat,Liberal Democrat
542,Liberal Democrat,Liberal Democrat
543,Brexit Party,Brexit Party
544,Liberal Democrat,Liberal Democrat
545,Conservative,Conservative
546,Conservative,Conservative
547,Liberal Democrat,Liberal Democrat
548,Liberal Democrat,Liberal Democrat
549,Labour,Labour
550,Conservative,Conservative
551,Labour,Labour
552,Green Party,Green Party
553,Conservative,Conservative
554,Conservative,Conservative
555,Liberal Democrat,Liberal Democrat
556,Conservative,Conservative
557,Liberal Democrat,Liberal Democrat
558,Conservative,Conservative
559,Conservative,Conservative
560,Conservative,Conservative
561,Conservative,Conservative
562,Liberal Democrat,Liberal Democrat
563,Conservative,Conservative
564,Liberal Democrat,Liberal Democrat
565,Green Party,Green Party
566,Liberal Democrat,Liberal Democrat
567,Conservative,Conservative
568,Labour,Labour
569,Brexit Party,Brexit Party
570,Conservative,Conservative
571,Conservative,Conservative
572,Liberal Democrat,Liberal Democrat
573,Labour,Labour
574,Conservative,Conservative
575,Brexit Party,Brexit Party
576,Conservative,Conservative
577,Labour,Labour
578,Labour,Labour
579,Labour,Labour
580,Brexit Party,Brexit Party
581,Brexit Party,Brexit Party
582,Conservative,Conservative
583,Brexit Party,Brexit Party
584,Labour,Labour
585,Brexit Party,Brexit Party
586,Brexit Party,Brexit Party
587,Conservative,Conservative
588,Liberal Democrat,Liberal Democrat
589,Liberal Democrat,Liberal Democrat
590,Conservative,Conservative
591,Conservative,Conservative
592,Liberal Democrat,Liberal Democrat
593,Conservative,Conservative
594,Liberal Democrat,Liberal Democrat
595,Conservative,Conservative
596,Conservative,Conservative
597,Conservative,Conservative
598,Liberal Democrat,Liberal Democrat
599,Liberal Democrat,Liberal Democrat
600,Liberal Democrat,Liberal Democrat
601,Liberal Democrat,Liberal Democrat
602,Liberal Democrat,Liberal Democrat
603,Conservative,Conservative
604,Liberal Democrat,Liberal Democrat
605,Liberal Democrat,Liberal Democrat
606,Liberal Democrat,Liberal Democrat
607,Labour,Labour
608,Brexit Party,Brexit Party
609,Labour,Labour
610,Conservative,Conservative
611,Labour,Labour
612,Labour,Labour
613,Liberal Democrat,Liberal Democrat
614,Brexit Party,Brexit Party
615,Conservative,Conservative
616,Liberal Democrat,Liberal Democrat
617,Brexit Party,Brexit Party
618,Conservative,Conservative
619,Conservative,Conservative
620,Conservative,Conservative
621,Conservative,Conservative
622,Labour,Labour
623,Green Party,Green Party
624,Conservative,Conservative
625,Conservative,Conservative
626,Green Party,Green Party
627,Conservative,Conservative
628,Conservative,Conservative
629,Conservative,Conservative
630,Conservative,Conservative
631,Liberal Democrat,Liberal Democrat
632,Liberal Democrat,Liberal Democrat
633,Conservative,Conservative
634,Conservative,Conservative
635,Brexit Party,Brexit Party
636,Green Party,Green Party
637,Conservative,Conservative
638,Labour,Labour
639,Liberal Democrat,Liberal Democrat
640,Liberal Democrat,Liberal Democrat
641,Conservative,Conservative
642,Liberal Democrat,Liberal Democrat
643,Labour,Labour
644,Labour,Labour
645,Liberal Democrat,Liberal Democrat
646,An independent candidate,An independent candidate
647,Labour,Labour
648,Liberal Democrat,Liberal Democrat
649,Conservative,Conservative
650,Brexit Party,Brexit Party
651,Liberal Democrat,Liberal Democrat
652,Conservative,Conservative
653,Conservative,Conservative
654,Conservative,Conservative
655,Conservative,Conservative
656,Conservative,Conservative
657,Conservative,Conservative
658,Green Party,Green Party
659,Conservative,Conservative
660,Conservative,Conservative
661,Conservative,Conservative
662,Liberal Democrat,Liberal Democrat
663,Liberal Democrat,Liberal Democrat
664,Conservative,Conservative
665,Brexit Party,Brexit Party
666,Conservative,Conservative
667,Liberal Democrat,Liberal Democrat
668,Labour,Labour
669,Conservative,Conservative
670,Labour,Labour
671,Green Party,Green Party
672,Labour,Labour
673,Liberal Democrat,Liberal Democrat
674,Liberal Democrat,Liberal Democrat
675,Conservative,Conservative
676,Conservative,Conservative
677,Conservative,Conservative
678,Conservative,Conservative
679,Conservative,Conservative
680,Brexit Party,Brexit Party
681,Liberal Democrat,Liberal Democrat
682,Labour,Labour
683,Liberal Democrat,Liberal Democrat
684,Labour,Labour
685,Conservative,Conservative
686,Conservative,Conservative
687,Conservative,Conservative
688,Conservative,Conservative
689,Conservative,Conservative
690,Liberal Democrat,Liberal Democrat
691,Labour,Labour
692,Liberal Democrat,Liberal Democrat
693,Labour,Labour
694,Labour,Labour
695,Labour,Labour
696,Conservative,Conservative
697,Conservative,Conservative
698,Labour,Labour
699,Conservative,Conservative
700,Labour,Labour
701,Labour,Labour
702,Conservative,Conservative
703,Brexit Party,Brexit Party
704,Conservative,Conservative
705,Conservative,Conservative
706,Conservative,Conservative
707,Conservative,Conservative
708,Conservative,Conservative
709,Conservative,Conservative
710,Conservative,Conservative
711,Conservative,Conservative
712,Conservative,Conservative
713,Conservative,Conservative
714,Liberal Democrat,Liberal Democrat
715,Liberal Democrat,Liberal Democrat
716,Brexit Party,Brexit Party
717,Liberal Democrat,Liberal Democrat
718,Liberal Democrat,Liberal Democrat
719,Conservative,Conservative
720,Conservative,Conservative
721,Liberal Democrat,Liberal Democrat
722,Brexit Party,Brexit Party
723,Conservative,Conservative
724,Conservative,Conservative
725,Labour,Labour
726,Liberal Democrat,Liberal Democrat
727,Liberal Democrat,Liberal Democrat
728,Labour,Labour
729,Conservative,Conservative
730,Conservative,Conservative
731,Labour,Labour
732,Labour,Labour
733,Conservative,Conservative
734,Labour,Labour
735,Liberal Democrat,Liberal Democrat
736,Brexit Party,Brexit Party
737,Labour,Labour
738,Labour,Labour
739,Conservative,Conservative
740,Conservative,Conservative
741,Brexit Party,Brexit Party
742,Conservative,Conservative
743,Conservative,Conservative
744,Labour,Labour
745,Conservative,Conservative
746,Liberal Democrat,Liberal Democrat
747,Conservative,Conservative
748,Conservative,Conservative
749,Conservative,Conservative
750,Liberal Democrat,Liberal Democrat
751,Conservative,Conservative
752,Liberal Democrat,Liberal Democrat
753,Conservative,Conservative
754,Conservative,Conservative
755,Labour,Labour
756,Liberal Democrat,Liberal Democrat
757,Brexit Party,Brexit Party
758,Conservative,Conservative
759,Labour,Labour
760,Conservative,Conservative
761,Conservative,Conservative
762,Liberal Democrat,Liberal Democrat
763,Brexit Party,Brexit Party
764,Liberal Democrat,Liberal Democrat
765,Conservative,Conservative
766,Conservative,Conservative
767,Labour,Labour
768,Conservative,Conservative
769,Conservative,Conservative
770,Conservative,Conservative
771,Conservative,Conservative
772,Conservative,Conservative
773,Conservative,Conservative
774,Conservative,Conservative
775,Conservative,Conservative
776,Liberal Democrat,Liberal Democrat
777,Labour,Labour
778,Conservative,Conservative
779,Conservative,Conservative
780,Brexit Party,Brexit Party
781,Conservative,Conservative
782,Conservative,Conservative
783,Conservative,Conservative
784,Liberal Democrat,Liberal Democrat
785,Conservative,Conservative
786,Liberal Democrat,Liberal Democrat
787,Liberal Democrat,Liberal Democrat
788,Liberal Democrat,Liberal Democrat
789,Liberal Democrat,Liberal Democrat
790,Conservative,Conservative
791,Conservative,Conservative
792,Brexit Party,Brexit Party
793,Brexit Party,Brexit Party
794,Conservative,Conservative
795,Conservative,Conservative
796,Liberal Democrat,Liberal Democrat
797,Liberal Democrat,Liberal Democrat
798,Labour,Labour
799,Liberal Democrat,Liberal Democrat
800,Labour,Labour
801,Labour,Labour
802,Conservative,Conservative
803,Labour,Labour
804,Liberal Democrat,Liberal Democrat
805,Liberal Democrat,Liberal Democrat
806,Green Party,Green Party
807,Labour,Labour
808,Labour,Labour
809,Labour,Labour
810,Labour,Labour
811,Conservative,Conservative
812,Liberal Democrat,Liberal Democrat
813,Liberal Democrat,Liberal Democrat
814,Labour,Labour
815,Liberal Democrat,Liberal Democrat
816,Labour,Labour
817,Liberal Democrat,Liberal Democrat
818,Labour,Labour
819,Labour,Labour
820,Conservative,Conservative
821,Conservative,Conservative
822,Liberal Democrat,Liberal Democrat
823,Conservative,Conservative
824,Conservative,Conservative
825,Brexit Party,Brexit Party
826,Conservative,Conservative
827,Brexit Party,Brexit Party
828,Conservative,Conservative
829,Conservative,Conservative
830,Liberal Democrat,Liberal Democrat
831,Liberal Democrat,Liberal Democrat
832,Conservative,Conservative
833,Conservative,Conservative
834,Conservative,Conservative
835,Labour,Labour
836,Labour,Labour
837,Conservative,Conservative
838,Conservative,Conservative
839,Labour,Labour
840,Conservative,Conservative
841,Liberal Democrat,Liberal Democrat
842,Brexit Party,Brexit Party
843,Conservative,Conservative
844,Conservative,Conservative
845,Conservative,Conservative
846,Labour,Labour
847,Liberal Democrat,Liberal Democrat
848,Conservative,Conservative
849,Conservative,Conservative
850,Liberal Democrat,Liberal Democrat
851,Liberal Democrat,Liberal Democrat
852,Conservative,Conservative
853,Conservative,Conservative
854,Brexit Party,Brexit Party
855,Conservative,Conservative
856,Liberal Democrat,Liberal Democrat
857,Green Party,Green Party
858,Conservative,Conservative
859,Conservative,Conservative
860,Conservative,Conservative
861,Liberal Democrat,Liberal Democrat
862,Conservative,Conservative
863,Liberal Democrat,Liberal Democrat
864,Conservative,Conservative
865,Labour,Labour
866,Labour,Labour
867,Labour,Labour
868,Labour,Labour
869,Liberal Democrat,Liberal Democrat
870,Liberal Democrat,Liberal Democrat
871,Labour,Labour
872,Labour,Labour
873,Liberal Democrat,Liberal Democrat
874,Brexit Party,Brexit Party
875,Labour,Labour
876,Brexit Party,Brexit Party
877,Conservative,Conservative
878,Conservative,Conservative
879,Conservative,Conservative
880,Liberal Democrat,Liberal Democrat
881,Conservative,Conservative
882,Conservative,Conservative
883,Liberal Democrat,Liberal Democrat
884,Brexit Party,Brexit Party
885,Conservative,Conservative
886,Conservative,Conservative
887,Labour,Labour
888,Liberal Democrat,Liberal Democrat
889,Labour,Labour
890,Labour,Labour
891,Labour,Labour
892,Conservative,Conservative
893,Labour,Labour
894,Conservative,Conservative
895,Conservative,Conservative
896,Conservative,Conservative
897,Conservative,Conservative
898,Labour,Labour
899,Conservative,Conservative
900,Brexit Party,Brexit Party
901,Conservative,Conservative
902,Labour,Labour
903,Labour,Labour
904,Conservative,Conservative
905,Liberal Democrat,Liberal Democrat
906,Labour,Labour
907,Labour,Labour
908,Liberal Democrat,Liberal Democrat
909,Brexit Party,Brexit Party
910,Labour,Labour
911,Conservative,Conservative
912,Conservative,Conservative
913,Conservative,Conservative
914,Brexit Party,Brexit Party
915,Liberal Democrat,Liberal Democrat
916,Conservative,Conservative
917,Liberal Democrat,Liberal Democrat
918,Conservative,Conservative
919,Green Party,Green Party
920,Labour,Labour
921,Brexit Party,Brexit Party
922,Conservative,Conservative
923,Liberal Democrat,Liberal Democrat
924,Conservative,Conservative
925,Liberal Democrat,Liberal Democrat
926,Conservative,Conservative
927,Conservative,Conservative
928,Conservative,Conservative
929,Liberal Democrat,Liberal Democrat
930,Liberal Democrat,Liberal Democrat
931,Conservative,Conservative
932,Labour,Labour
933,Conservative,Conservative
934,Green Party,Green Party
935,Conservative,Conservative
936,Liberal Democrat,Liberal Democrat
937,Labour,Labour
938,Conservative,Conservative
939,Liberal Democrat,Liberal Democrat
940,Conservative,Conservative
941,Conservative,Conservative
942,Liberal Democrat,Liberal Democrat
943,Conservative,Conservative
944,Conservative,Conservative
945,Brexit Party,Brexit Party
946,Liberal Democrat,Liberal Democrat
947,Conservative,Conservative
948,Labour,Labour
949,Conservative,Conservative
950,Conservative,Conservative
951,Conservative,Conservative
952,Conservative,Conservative
953,Conservative,Conservative
954,Liberal Democrat,Liberal Democrat
955,An independent candidate,An independent candidate
956,Labour,Labour
957,Liberal Democrat,Liberal Democrat
958,Conservative,Conservative
959,Brexit Party,Brexit Party
960,Conservative,Conservative
961,Conservative,Conservative
962,Labour,Labour
963,Labour,Labour
964,Labour,Labour
965,Conservative,Conservative
966,Liberal Democrat,Liberal Democrat
967,Conservative,Conservative
968,Labour,Labour
969,Labour,Labour
970,Labour,Labour
971,Labour,Labour
972,Conservative,Conservative
973,Labour,Labour
974,Labour,Labour
975,Labour,Labour
976,Brexit Party,Brexit Party
977,Liberal Democrat,Liberal Democrat
978,Conservative,Conservative
979,Labour,Labour
980,Liberal Democrat,Liberal Democrat
981,Labour,Labour
982,Labour,Labour
983,Conservative,Conservative
984,Conservative,Conservative
985,Brexit Party,Brexit Party
986,Conservative,Conservative
987,Labour,Labour
988,Conservative,Conservative
989,Labour,Labour
990,Brexit Party,Brexit Party
991,Conservative,Conservative
992,Green Party,Green Party
993,Labour,Labour
994,Labour,Labour
995,Labour,Labour
996,Brexit Party,Brexit Party
997,Brexit Party,Brexit Party
998,Labour,Labour
999,Liberal Democrat,Liberal Democrat
1000,Conservative,Conservative
1001,Liberal Democrat,Liberal Democrat
1002,Conservative,Conservative
1003,Conservative,Conservative
1004,Conservative,Conservative
1005,Liberal Democrat,Liberal Democrat
1006,Brexit Party,Brexit Party
1007,Liberal Democrat,Liberal Democrat
1008,Labour,Labour
1009,Green Party,Green Party
1010,Labour,Labour
1011,Labour,Labour
1012,Conservative,Conservative
1013,Labour,Labour
1014,Liberal Democrat,Liberal Democrat
1015,Labour,Labour
1016,Labour,Labour
1017,Liberal Democrat,Liberal Democrat
1018,Labour,Labour
1019,Brexit Party,Brexit Party
1020,Brexit Party,Brexit Party
1021,Labour,Labour
1022,Labour,Labour
1023,Labour,Labour
1024,Conservative,Conservative
1025,Labour,Labour
1026,Green Party,Green Party
1027,Labour,Labour
1028,Liberal Democrat,Liberal Democrat
1029,Liberal Democrat,Liberal Democrat
